Time,Humidity,Tempreture 
39738,38.00,24.80
39739,38.00,24.80
39740,38.00,24.80
39741,38.00,24.80
39742,38.00,24.80
39743,38.00,24.80
39744,38.00,24.80
39745,38.00,24.80
39746,38.00,24.80
39747,38.00,24.80
39748,38.00,24.80
39749,38.00,24.80
39750,38.00,24.80
39751,38.00,24.80
39752,38.00,24.80
39753,38.00,24.80
39754,38.00,24.80
39755,38.00,24.80
39756,38.00,24.80
39757,38.00,24.80
39758,38.00,24.80
39759,38.00,24.80
39760,38.00,24.80
39761,38.00,24.80
39762,38.00,24.80
39763,38.00,24.80
39764,38.00,24.80
39765,38.00,24.80
39766,38.00,24.80
39767,38.00,24.80
39768,38.00,24.80
39769,38.00,24.80
39770,38.00,24.80
39771,38.00,24.80
39772,38.00,24.80
39773,38.00,24.80
39774,38.00,24.80
39775,38.00,24.80
39776,38.00,24.80
39777,38.00,24.80
39778,38.00,24.80
39779,38.00,24.80
39780,38.00,24.80
39781,38.00,24.80
39782,38.00,24.80
39783,38.00,24.80
39784,38.00,24.80
39785,38.00,24.80
39786,38.00,24.80
39787,38.00,24.80
39788,38.00,24.50
39789,38.00,24.50
39790,38.00,24.50
39791,38.00,24.50
39792,38.00,24.50
39793,38.00,24.50
39794,38.00,24.50
39795,38.00,24.50
39796,38.00,24.50
39797,38.00,24.50
39798,38.00,24.50
39799,38.00,24.50
39800,38.00,24.50
39801,38.00,24.50
39802,38.00,24.50
39803,38.00,24.50
39804,38.00,24.50
39805,38.00,24.50
39806,38.00,24.50
39807,38.00,24.50
39808,38.00,24.50
39809,38.00,24.50
39810,38.00,24.50
39811,38.00,24.50
39812,38.00,24.50
39813,38.00,24.50
39814,38.00,24.50
39815,38.00,24.50
39816,38.00,24.50
39817,38.00,24.50
39818,38.00,24.50
39819,38.00,24.50
39820,38.00,24.50
39821,38.00,24.50
39822,38.00,24.50
39823,38.00,24.50
39824,38.00,24.50
39825,38.00,24.50
39826,38.00,24.50
39827,38.00,24.50
39828,38.00,24.50
